epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,24209.2,0.6562,0.42485,1.08081,0.9386,0.96574,0.95772,0.63481,1.14279,0.49603,1.49444,0.000833583,0.000833583,0.000833583
103,24441.1,0.65869,0.41577,1.08265,0.93454,0.94907,0.9268,0.62183,1.13979,0.5402,1.47422,0.000825332,0.000825332,0.000825332
104,24668.7,0.62791,0.40581,1.06541,0.93342,0.95191,0.9243,0.60764,1.14707,0.5004,1.47461,0.00081708,0.00081708,0.00081708
105,24894.8,0.61666,0.39721,1.07704,0.93294,0.96574,0.9445,0.61761,1.16017,0.53007,1.51433,0.000808828,0.000808828,0.000808828
106,25126.2,0.63489,0.41558,1.0891,0.93434,0.95292,0.9431,0.63102,1.15366,0.49082,1.49237,0.000800577,0.000800577,0.000800577
107,25354,0.62777,0.38957,1.06109,0.92241,0.95052,0.92863,0.59037,1.1953,0.51405,1.51343,0.000792325,0.000792325,0.000792325
108,25580.9,0.62169,0.39973,1.07262,0.94433,0.96518,0.93869,0.60064,1.19467,0.54244,1.52819,0.000784073,0.000784073,0.000784073
109,25808.3,0.6231,0.39707,1.06807,0.94674,0.94654,0.95353,0.62975,1.12011,0.47416,1.50077,0.000775822,0.000775822,0.000775822
110,26037.5,0.61017,0.3881,1.05848,0.95959,0.95292,0.94977,0.65012,1.09335,0.46558,1.43212,0.00076757,0.00076757,0.00076757
111,26266.1,0.61293,0.37844,1.05339,0.94664,0.96574,0.95051,0.63849,1.11283,0.4706,1.43967,0.000759318,0.000759318,0.000759318
112,26493.6,0.61577,0.39148,1.0779,0.95805,0.95248,0.95682,0.65469,1.07657,0.46271,1.41682,0.000751067,0.000751067,0.000751067
113,26720,0.61656,0.38598,1.06194,0.95447,0.9443,0.95034,0.6199,1.15431,0.53822,1.48696,0.000742815,0.000742815,0.000742815
114,26949.9,0.61631,0.38749,1.06412,0.93803,0.96446,0.959,0.65099,1.11402,0.50062,1.44061,0.000734564,0.000734564,0.000734564
115,27177,0.58728,0.36724,1.04696,0.93482,0.95292,0.93852,0.62923,1.15786,0.51625,1.51281,0.000726312,0.000726312,0.000726312
116,27403.2,0.5937,0.37811,1.04506,0.93303,0.95292,0.95768,0.64073,1.13264,0.51447,1.46198,0.00071806,0.00071806,0.00071806
117,27629.7,0.6029,0.38952,1.06499,0.93756,0.96574,0.96117,0.64008,1.13019,0.52728,1.47169,0.000709809,0.000709809,0.000709809
118,27859,0.57804,0.3672,1.02926,0.93646,0.96574,0.9611,0.63404,1.14179,0.49902,1.49443,0.000701557,0.000701557,0.000701557
