epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,88753.6,0.77427,0.80533,1.11876,0.65012,0.65863,0.65606,0.47108,0.77824,0.75795,1.11161,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,90091.4,0.77652,0.80486,1.11948,0.64883,0.65221,0.65939,0.46389,0.79013,0.79782,1.10258,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,91423.4,0.76627,0.80732,1.11406,0.97932,0.65599,0.65435,0.46501,0.77807,0.77907,1.11681,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,92777.6,0.77185,0.80886,1.1238,0.98067,0.65227,0.65525,0.46014,0.77157,0.81194,1.11272,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,94119.8,0.75837,0.78993,1.11254,0.98047,0.65599,0.65579,0.45583,0.87766,0.81006,1.13426,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,95477.2,0.77283,0.80693,1.12324,0.64026,0.65194,0.65034,0.45471,0.83223,0.76226,1.12058,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,96822.8,0.75412,0.78385,1.10737,0.63945,0.65007,0.64894,0.45499,0.78651,0.74151,1.11885,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,98168.3,0.75614,0.79479,1.10826,0.64401,0.64971,0.64888,0.46044,0.74401,0.77543,1.11394,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,99528.1,0.76218,0.79882,1.1143,0.64454,0.65599,0.65399,0.4678,0.7802,0.73513,1.10582,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,100884,0.75093,0.80155,1.10607,0.97863,0.65524,0.65141,0.4617,0.79798,0.75557,1.11162,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,102234,0.75004,0.78569,1.10688,0.64441,0.64976,0.65769,0.47463,0.74398,0.74901,1.08189,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,103589,0.74407,0.7948,1.10527,0.98397,0.65599,0.65719,0.4727,0.7808,0.74301,1.12313,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,104944,0.74808,0.78593,1.10574,0.97541,0.65895,0.65431,0.46242,0.76905,0.75952,1.10792,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,106303,0.74367,0.79739,1.10613,0.97911,0.65303,0.66293,0.48199,0.74128,0.7865,1.07559,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,107657,0.73954,0.79359,1.10148,0.97607,0.65451,0.65662,0.47676,0.78892,0.73991,1.10639,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,109007,0.74884,0.77972,1.10784,0.97954,0.65677,0.65571,0.46543,0.77181,0.78611,1.10794,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,110357,0.74454,0.79292,1.10565,0.9862,0.66002,0.66051,0.47474,0.74644,0.8058,1.09185,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,111716,0.72681,0.77792,1.09795,0.64892,0.65696,0.65837,0.47338,0.73566,0.7728,1.09723,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,113120,0.73872,0.77648,1.1049,0.98167,0.66044,0.65948,0.47216,0.76173,0.80926,1.10926,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,114489,0.72741,0.76764,1.09699,0.64799,0.65238,0.65973,0.48144,0.74526,0.74249,1.10497,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,115862,0.71868,0.76263,1.08879,0.64782,0.65747,0.65484,0.46198,0.76053,0.77926,1.10768,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,117313,0.71888,0.76168,1.09851,0.97979,0.65451,0.65339,0.46551,0.75893,0.76359,1.10324,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,118713,0.72358,0.77131,1.09207,0.97862,0.65825,0.65583,0.4561,0.76708,0.76282,1.11546,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,120072,0.72267,0.76817,1.1015,0.64258,0.65573,0.65648,0.4711,0.74578,0.7602,1.10873,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,121430,0.72043,0.75745,1.09483,0.97619,0.65556,0.65972,0.47228,0.78117,0.72934,1.10897,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,122771,0.72439,0.7681,1.09267,0.97645,0.65599,0.65617,0.4716,0.74293,0.74427,1.10417,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,124138,0.71608,0.76183,1.08893,0.9797,0.65677,0.6566,0.46596,0.75252,0.73842,1.10592,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,125484,0.71363,0.77417,1.08829,0.97758,0.65747,0.65437,0.46198,0.75002,0.74255,1.08283,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,126849,0.70311,0.75597,1.07904,0.64119,0.65303,0.65806,0.47598,0.71198,0.76372,1.08312,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,128382,0.70968,0.75921,1.08825,0.97754,0.65747,0.65499,0.46662,0.73674,0.72932,1.09406,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,129971,0.70984,0.75011,1.09209,0.97825,0.65599,0.65683,0.47414,0.71337,0.75092,1.08763,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,131605,0.70094,0.75037,1.08265,0.9836,0.65895,0.65803,0.46706,0.76774,0.76351,1.10511,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,133169,0.69995,0.74503,1.08406,0.6491,0.65747,0.65551,0.4653,0.74127,0.77918,1.10831,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,134692,0.69853,0.75342,1.07979,0.97627,0.65895,0.65701,0.4672,0.73706,0.75699,1.09259,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,136184,0.70178,0.748,1.07756,0.97623,0.65599,0.65404,0.46828,0.72298,0.75059,1.09046,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
